presupuesto;proveedor;fecha;referencia;marca;modelo;descripcion;tipo;categoria;unidad;senal;conector_a;conector_b;longitud_m;bobina_m;cantidad;precio_compra;unidades_por_compra;revisar
Videowall Castellón · unidad móvil Madrid;;;;GRAVITY;MS 23 XLR B;Soporte de micrófono con conector XLR y cuello de cisne;equipo;SOPORTE DE MICRÓFONO;ud;;;;;;2;52.80;1;
Videowall Castellón · unidad móvil Madrid;;;;K&M;210/8;Soporte de micrófono de pie con jirafa;equipo;SOPORTE DE MICRÓFONO;ud;;;;;;2;48.15;1;
Videowall Castellón · unidad móvil Madrid;;;;ASUS;PCE-AX1800;Tarjeta de red PCIe Wi-Fi 6;equipo;TARJETA DE RED;ud;red;;;;;1;30.19;1;
Videowall Castellón · unidad móvil Madrid;;;;SENNHEISER;HD-25;Auriculares de monitorado;equipo;AURICULARES;ud;audio_linea;;;;;1;159.30;1;
Videowall Castellón · unidad móvil Madrid;;;;GRIFEMA;GB2003-1;Soporte de monitor;equipo;SOPORTE DE PANTALLA;ud;;;;;;1;19.54;1;
Videowall Castellón · unidad móvil Madrid;;;;ADAM HALL;87556;Bandeja extraíble enracable 19";equipo;BANDEJA DE RACK;ud;;;;;;1;58.78;1;
Videowall Castellón · unidad móvil Madrid;;;;SHURE;BLX1288/W85 COMBO S8;Sistema inalámbrico combo con micrófono de solapa;equipo;MICROFONÍA;ud;microfono;;;;;1;575.70;1;
Videowall Castellón · unidad móvil Madrid;;;CMK 222 BK/100M;CORDIAL;CMK 222;Cable de micrófono apantallado, bobina de 100 m;cable;CABLE AUDIO;m;microfono;;;;100;1;83.63;100;
Videowall Castellón · unidad móvil Madrid;;;C-HM/HM-35;KRAMER;C-HM/HM-35;Latiguillo HDMI de 35 ft (10,7 m);cable;CABLE HDMI;ud;hdmi;HDMI A;HDMI A;10.7;;2;30.65;1;El presupuesto lo describe como 10 m: la referencia -35 son 35 ft
Videowall Castellón · unidad móvil Noroeste;;;;MACKIE;THUMP 212;Altavoz autoamplificado 12";equipo;ALTAVOZ;ud;audio_altavoz;;;;;2;322.89;1;
Videowall Castellón · unidad móvil Noroeste;;;;MACKIE;BAG THUMP212/XT;Funda de transporte para Thump 212;equipo;FUNDA DE TRANSPORTE;ud;;;;;;2;55.94;1;
Videowall Castellón · unidad móvil Noroeste;;;;GRAVITY;SS 5211 B;Soporte de altavoz con funda, set de 1;equipo;SOPORTE DE ALTAVOZ;ud;;;;;;1;100.08;1;
Videowall Castellón · unidad móvil Noroeste;;;;YAMAHA;MG10 XU;Mesa de mezclas 10 canales con USB;equipo;MEZCLADOR DE AUDIO;ud;audio_linea;;;;;1;246.16;1;
Videowall Castellón · unidad móvil Noroeste;;;CTM 20 FM-BK;CORDIAL;CTM 20 FM-BK;Latiguillo XLR macho-hembra;cable;CABLE AUDIO;ud;microfono;XLR M;XLR H;20;;2;25.10;1;El presupuesto lo describe como 15 m: la referencia CTM 20 son 20 m
Videowall Castellón · unidad móvil Noroeste;;;CTM 1,5 FM-BK;CORDIAL;CTM 1,5 FM-BK;Latiguillo XLR macho-hembra de 1,5 m;cable;CABLE AUDIO;ud;microfono;XLR M;XLR H;1.5;;2;31.14;1;Sale más caro que el de 20 m: comprobar
Videowall Castellón · unidad móvil Noroeste;;;;TRITON-BLUE;FLIGHTCASE COMBINADO 19" 12U;Rack combinado 19" 12U, fondo 508 mm;equipo;RACK;ud;;;;;;1;292.47;1;
Videowall Castellón · unidad móvil Noroeste;;;;SHURE;BLX1288/W85 COMBO S8;;equipo;MICROFONÍA;ud;microfono;;;;;1;575.70;1;
Videowall Castellón · unidad móvil Noroeste;;;;EPSON;EB-1795F;Proyector portátil Full HD;equipo;PROYECTOR;ud;;;;;;1;913.98;1;
Videowall Castellón · suministro Ciudad BBVA;;;70BFL2214/12;PHILIPS;70BFL2214/12;Pantalla profesional de 70";equipo;PANTALLA;ud;;;;;;20;618.28;1;
