presupuesto;proveedor;fecha;referencia;marca;modelo;descripcion;tipo;categoria;unidad;senal;conector_a;conector_b;longitud_m;bobina_m;cantidad;precio_compra;unidades_por_compra;moneda;revisar
Referencia web · cable;;2026-08-05;;;CANALETA 25X16 MM;;consumible;CANALIZACION;m;otro;;;;;;0.80;1;USD;Rango 0,80-2 USD/m. Muy variable por región; rollo de 20-25 m entre 15 y 40 USD
Referencia web · cable;;2026-08-05;;;CANALETA 40X25 MM;;consumible;CANALIZACION;m;otro;;;;;;1.50;1;USD;Rango 1,50-3,50 USD/m. Estimado sobre la base del 25x16, no medido
Referencia web · cable;;2026-08-05;;;CANALETA 60X40 MM;;consumible;CANALIZACION;m;otro;;;;;;2.50;1;USD;Rango 2,50-5 USD/m. Estimado, consultar distribuidor local por volumen
Referencia web · cable;;2026-08-05;;;TUBO CORRUGADO 20 MM;;consumible;CANALIZACION;m;otro;;;;;;0.30;1;USD;Rango 0,30-0,80 USD/m. Rollo de 25-50 m entre 15 y 25 USD
Referencia web · cable;;2026-08-05;;;TUBO CORRUGADO 25 MM;;consumible;CANALIZACION;m;otro;;;;;;0.70;1;USD;Rango 0,70-1,80 USD/m. Rollo de 10-25 m entre 18 y 35 USD
Referencia web · cable;;2026-08-05;;;CONECTOR RJ45 CAT6 UTP;;consumible;CONECTOR;ud;red;;;;;;0.25;1;USD;Rango 0,25-0,60 USD. Pack de 50-100 uds entre 0,25 y 0,45
Referencia web · cable;;2026-08-05;;;CONECTOR RJ45 CAT6A FTP;;consumible;CONECTOR;ud;red;;;;;;0.45;1;USD;Rango 0,45-0,60 USD apantallado, pack de 50-100 uds
Referencia web · cable;;2026-08-05;;;CONECTOR XLR MACHO;;consumible;CONECTOR;ud;microfono;;;;;;2;1;USD;Rango 2-10 USD. Metal estándar 2-5, chasis 3. La fuente no separa macho y hembra
Referencia web · cable;;2026-08-05;;;CONECTOR XLR HEMBRA;;consumible;CONECTOR;ud;microfono;;;;;;2;1;USD;Rango 2-10 USD. Metal estándar 2-5, chasis 3. La fuente no separa macho y hembra
Referencia web · cable;;2026-08-05;;;BRIDA NYLON 200 MM;;consumible;FIJACION;ud;otro;;;;;;1;100;USD;Pack de 100 uds entre 1 y 6 USD. Cargado como el pack más barato
Referencia web · cable;;2026-08-05;;;GRAPA SUJETACABLES;;consumible;FIJACION;ud;otro;;;;;;0.15;1;USD;Rango 0,15-0,50 USD por unidad. Packs de 20-50 uds entre 4 y 12 USD
Referencia web · cable;;2026-08-05;;;SOPORTE PANTALLA VESA FIJO 400X400;;consumible;FIJACION;ud;otro;;;;;;17;1;USD;Rango 17-120 USD. Fijo básico 17-37, articulado 60-120
Referencia web · cable;;2026-08-05;;;SOPORTE PANTALLA VESA INCLINABLE 600X400;;consumible;FIJACION;ud;otro;;;;;;40;1;USD;Rango 40-240 USD. Fijo 40-90, full-motion profesional 240-500
Referencia web · cable;;2026-08-05;;;CAJA DE SUPERFICIE 2 MODULOS;;consumible;MECANISMO;ud;otro;;;;;;1.65;1;USD;Rango 1,65-4 USD. Plástico estándar 1,65-3,23, resistente al fuego 4
Referencia web · cable;;2026-08-05;;;PLACA HDMI + RJ45 EMPOTRABLE;;consumible;MECANISMO;ud;otro;;;;;;8;1;USD;Rango 8-20 USD con keystone jacks
